Sid,Response,Technique_id,True_labels
50106,"[TextBlock(text='[\n  {\n    ""sid"": ""50106"",\n    ""Technique ID"": ""T1557"",\n    ""Technique name"": ""Adversary-in-the-Middle"",\n    ""Quotes"": [""The rule detects an attempt to perform a Responder poisoner SMB attack, which is a type of Adversary-in-the-Middle attack where the adversary positions themselves between the victim and a legitimate server to intercept and potentially manipulate network traffic.""],\n    ""Explanation"": ""The Snort rule is designed to detect a specific type of Adversary-in-the-Middle attack known as a Responder poisoner SMB attack, which targets the Server Message Block (SMB) protocol used for file sharing and remote services on Windows systems.""\n  },\n  {\n    ""sid"": ""50106"", \n    ""Technique ID"": ""T1557.001"",\n    ""Technique name"": ""LLMNR/NBT-NS Poisoning"",\n    ""Quotes"": [""The content field in the rule matches a specific pattern \'W|00|I|00|N|00|-|00|P|00|R|00|H|00|4|00|9|00|2|00|R|00|Q|00|A|00|F|00|V|00|.|00|S|00|M|00|B|00|3|00|.|00|l|00|o|00|c|00|a|00|l|00|\', which appears to be related to the NetBIOS Name Service (NBT-NS) protocol used for name resolution in Windows environments.""],\n    ""Explanation"": ""The Snort rule specifically targets a technique known as LLMNR/NBT-NS Poisoning, which is a sub-technique of Adversary-in-the-Middle. This technique involves poisoning the Link-Local Multicast Name Resolution (LLMNR) and NetBIOS Name Service (NBT-NS) protocols to redirect network traffic and potentially intercept sensitive information.""\n  }\n]', type='text')]",['T1557'],['T1187']
1564,"[TextBlock(text='[\n  {\n    ""sid"": ""1564"",\n    ""Technique ID"": ""T1190"",\n    ""Technique name"": ""Exploit Public-Facing Application"",\n    ""Quotes"": [""Adversaries may attempt to take advantage of a weakness in an Internet-facing computer or program using software, data, or commands in order to cause unintended or unanticipated behavior.""],\n    ""Explanation"": ""The Snort rule is designed to detect access to the login.htm page, which is a common entry point for web applications. This could indicate an attempt to exploit a public-facing application.""\n  },\n  {\n    ""sid"": ""1564"",\n    ""Technique ID"": ""T1078"",\n    ""Technique name"": ""Valid Accounts"",\n    ""Quotes"": [""Adversaries may attempt to login to systems using valid accounts.""],\n    ""Explanation"": ""The Snort rule is monitoring access to the login.htm page, which could be an attempt to use valid accounts to gain unauthorized access to a web application.""\n  }\n]', type='text')]","['T1190', 'T1078']",['T1190']
20158,"[TextBlock(text='[\n  {\n    ""sid"": ""20158"",\n    ""Technique ID"": ""T1078"",\n    ""Technique name"": ""Valid Accounts"",\n    ""Quotes"": [""The rule detects an attempt to log in to the Oracle GlassFish Server using the default administrative credentials (admin/adminadmin), which falls under the Valid Accounts technique.""],\n    ""Explanation"": ""Adversaries may attempt to log in to an existing account using valid credentials, which is a common technique for gaining initial access or elevating privileges on a system.""\n  },\n  {\n    ""sid"": ""20158"", \n    ""Technique ID"": ""T1190"",\n    ""Technique name"": ""Exploit Public-Facing Application"",\n    ""Quotes"": [""The rule is specifically looking for attempts to exploit the Oracle GlassFish Server, which is a public-facing web application, by trying to log in with default credentials.""],\n    ""Explanation"": ""Adversaries may attempt to take advantage of software vulnerabilities in internet-facing applications to gain initial access or persistence on a system.""\n  }\n]', type='text')]","['T1078', 'T1190']",['T1078']
10088,"[TextBlock(text='[\n  {\n    ""sid"": ""10088"",\n    ""Technique ID"": ""T1056"",\n    ""Technique name"": ""Input Capture"",\n    ""Quotes"": [""The rule detects activity related to a keylogger malware called \'Beyond Keylogger\', which is designed to capture user input data such as keystrokes.""],\n    ""Explanation"": ""The Snort rule is specifically looking for email traffic containing logs sent by the \'Beyond Keylogger\' malware, which is used to capture user input data like keystrokes. This directly maps to the \'Input Capture\' technique in MITRE ATT&CK.""\n  },\n  {\n    ""sid"": ""10088"",\n    ""Technique ID"": ""T1071"",\n    ""Technique name"": ""Application Layer Protocol"",\n    ""Quotes"": [""The rule is inspecting SMTP traffic (flow:to_server,established; service:smtp) for specific patterns that indicate the presence of the \'Beyond Keylogger\' malware.""],\n    ""Explanation"": ""The Snort rule is analyzing SMTP (email) traffic, which is an application layer protocol, to detect the presence of the \'Beyond Keylogger\' malware. This aligns with the \'Application Layer Protocol\' technique in MITRE ATT&CK, which involves using application layer protocols for various purposes, including command and control or data exfiltration.""\n  }\n]', type='text')]","['T1056', 'T1071']",['T1056']
5783,"[TextBlock(text='[\n  {\n    ""sid"": ""5783"",\n    ""Technique ID"": ""T1056"",\n    ""Technique name"": ""Input Capture"",\n    ""Quotes"": [""The rule detects keystrokes being logged by a keylogger malware, which is a form of input capture.""],\n    ""Explanation"": ""The rule is designed to detect a keylogger malware that is attempting to send captured keystrokes via email, which is a common technique used by keyloggers to exfiltrate captured data.""\n  },\n  {\n    ""sid"": ""5783"",\n    ""Technique ID"": ""T1048"",\n    ""Technique name"": ""Exfiltration Over Alternative Protocol"",\n    ""Quotes"": [""The rule detects the use of SMTP (email) to exfiltrate captured keystrokes, which is an alternative protocol to standard network communications.""],\n    ""Explanation"": ""The rule is specifically looking for the use of SMTP (email) to exfiltrate captured keystrokes, which is an alternative protocol to standard network communications and a common technique used by malware to evade detection.""\n  }\n]', type='text')]","['T1056', 'T1048']",['T1056']
29379,"[TextBlock(text='[\n  {\n    ""sid"": ""29379"",\n    ""Technique ID"": ""T1020"",\n    ""Technique name"": ""Data Obfuscation"",\n    ""Quotes"": [""The rule detects outbound encrypted traffic from a Trojan dropper, which could be used for data exfiltration. Data obfuscation techniques are commonly used by malware to hide data that is being exfiltrated.""],\n    ""Explanation"": ""The rule is looking for specific patterns in the network traffic that indicate the presence of encrypted data, which could be a sign of data exfiltration using obfuscation techniques.""\n  },\n  {\n    ""sid"": ""29379"",\n    ""Technique ID"": ""T1041"",\n    ""Technique name"": ""Exfiltration Over C2 Channel"",\n    ""Quotes"": [""The rule explicitly mentions \'potential exfiltration\' in the message, suggesting that the detected traffic could be used for data exfiltration over the command and control channel established by the Trojan dropper.""],\n    ""Explanation"": ""The rule is designed to detect potential data exfiltration activity, where the malware is using its command and control channel to send out sensitive data from the compromised system.""\n  }\n]', type='text')]","['T1020', 'T1041']",['T1020']
7176,"[TextBlock(text='[\n  {\n    ""sid"": ""7176"",\n    ""Technique ID"": ""T1056"",\n    ""Technique name"": ""Input Capture"",\n    ""Quotes"": [""The rule detects activity related to a keylogger malware (ab system spy) attempting to retrieve logged keystrokes, which is a form of input capture.""],\n    ""Explanation"": ""The rule is designed to detect a specific keylogger malware (ab system spy) attempting to retrieve logged keystrokes, which falls under the Input Capture technique in MITRE ATT&CK.""\n  },\n  {\n    ""sid"": ""7176"", \n    ""Technique ID"": ""T1020"",\n    ""Technique name"": ""Data Transfer Size Limits"",\n    ""Quotes"": [""The rule looks for the specific string \'FILEINFO|7C|\' in the network traffic, which could be an indicator of the malware attempting to transfer captured data.""],\n    ""Explanation"": ""The presence of the \'FILEINFO|7C|\' string in the network traffic could be an indication of the malware attempting to transfer captured data, potentially bypassing data transfer size limits, which is a technique used by adversaries to evade detection.""\n  }\n]', type='text')]","['T1056', 'T1020']",['T1056']
58733,"[TextBlock(text='[\n  {\n    ""sid"": ""58733"",\n    ""Technique ID"": ""T1190"",\n    ""Technique name"": ""Exploit Public-Facing Application"",\n    ""Quotes"": [""The rule detects attempts to exploit the Log4j vulnerability in Apache web servers, which allows remote code execution by sending a specially crafted request containing the ${jndi:ldap://...} payload.""],\n    ""Explanation"": ""This technique involves attempting to compromise and exploit a software vulnerability in a public-facing application, in this case the Log4j vulnerability in Apache web servers.""\n  },\n  {\n    ""sid"": ""58733"", \n    ""Technique ID"": ""T1059"",\n    ""Technique name"": ""Command and Scripting Interpreter"",\n    ""Quotes"": [""The rule is designed to detect attempts to exploit the Log4j vulnerability, which can lead to remote code execution on the targeted system.""],\n    ""Explanation"": ""The Log4j vulnerability can potentially allow an attacker to execute arbitrary commands or scripts on the compromised system, which aligns with the Command and Scripting Interpreter technique.""\n  }\n]', type='text')]","['T1190', 'T1059']",['T1190']
24087,"[TextBlock(text='[\n  {\n    ""sid"": ""24087"",\n    ""Technique ID"": ""T1572"",\n    ""Technique name"": ""Protocol Tunneling"",\n    ""Quotes"": [""The rule detects a Trojan (Bledoor) that tunnels TCP traffic over UDP, which is a form of protocol tunneling used by malware to bypass security controls or evade detection.""],\n    ""Explanation"": ""The rule is designed to detect a specific malware (Win.Trojan.Bledoor) that uses protocol tunneling to encapsulate TCP traffic within UDP packets, likely to bypass firewalls or other security controls that may block direct TCP connections.""\n  },\n  {\n    ""sid"": ""24087"",\n    ""Technique ID"": ""T1071"",\n    ""Technique name"": ""Application Layer Protocol"",\n    ""Quotes"": [""The rule looks for specific patterns in the UDP payload that resemble an encapsulated TCP header, indicating the use of a non-standard application layer protocol for communication.""],\n    ""Explanation"": ""The rule checks for specific byte patterns in the UDP payload that correspond to a TCP header, suggesting the use of a custom or non-standard application layer protocol for communication, which is a technique often used by malware for command and control or data exfiltration.""\n  }\n]', type='text')]","['T1572', 'T1071']",['T1048']
7551,"[TextBlock(text='[\n  {\n    ""sid"": ""7551"",\n    ""Technique ID"": ""T1056"",\n    ""Technique name"": ""Input Capture"",\n    ""Quotes"": [""The rule detects the presence of a keylogger malware (ardamax keylogger) that captures user input data, such as keystrokes, and sends it via SMTP.""],\n    ""Explanation"": ""The rule is designed to detect a specific keylogger malware that captures user input data and transmits it over SMTP, which aligns with the Input Capture technique in MITRE ATT&CK.""\n  },\n  {\n    ""sid"": ""7551"",\n    ""Technique ID"": ""T1071"",\n    ""Technique name"": ""Application Layer Protocol"",\n    ""Quotes"": [""The rule looks for specific patterns in the SMTP traffic that indicate the presence of the ardamax keylogger malware.""],\n    ""Explanation"": ""The rule analyzes SMTP traffic to detect the presence of the malware, which falls under the Application Layer Protocol technique in MITRE ATT&CK.""\n  }\n]', type='text')]","['T1056', 'T1071']",['T1056']
30516,"[TextBlock(text='[\n  {\n    ""sid"": ""30516"",\n    ""Technique ID"": ""T1190"",\n    ""Technique name"": ""Exploit Public-Facing Application"",\n    ""Quotes"": [""The rule detects a possible attempt to exploit the OpenSSL Heartbleed vulnerability, which allows an attacker to read memory data from a vulnerable system by sending a malformed heartbeat request.""],\n    ""Explanation"": ""The Heartbleed vulnerability in OpenSSL allowed attackers to exploit public-facing applications and services to read sensitive data from memory. This rule aims to detect such exploitation attempts by looking for specific patterns in the network traffic.""\n  },\n  {\n    ""sid"": ""30516"",\n    ""Technique ID"": ""T1046"",\n    ""Technique name"": ""Network Service Scanning"",\n    ""Quotes"": [""The rule looks for traffic on specific ports (21, 25, 443, 465, 636, 992, 993, 995, 2484) from the internal network to the external network, which could indicate network service scanning or reconnaissance activities.""],\n    ""Explanation"": ""By monitoring traffic on common service ports, this rule can potentially detect network service scanning or reconnaissance activities, which are often precursors to exploitation attempts or other malicious activities.""\n  }\n]', type='text')]","['T1190', 'T1046']",['T1123']
26803,"[TextBlock(text='[\n  {\n    ""sid"": ""26803"",\n    ""Technique ID"": ""T1048"",\n    ""Technique name"": ""Exfiltration Over Alternative Protocol"",\n    ""Quotes"": [""The rule detects potential data exfiltration attempts using the DNS protocol, which is an alternative protocol that can be used to bypass traditional data transfer methods.""],\n    ""Explanation"": ""The rule is designed to detect malware attempting to exfiltrate data by encoding it within DNS queries, which is a technique used by adversaries to bypass network restrictions and evade detection.""\n  },\n  {\n    ""sid"": ""26803"",\n    ""Technique ID"": ""T1071"",\n    ""Technique name"": ""Application Layer Protocol"",\n    ""Quotes"": [""The rule specifically targets the DNS protocol, which operates at the application layer, to detect potential data exfiltration attempts.""],\n    ""Explanation"": ""Adversaries may use application layer protocols, such as DNS, to exfiltrate data from a compromised system, as these protocols are commonly allowed to bypass network defenses.""\n  }\n]', type='text')]","['T1048', 'T1071']",['T1020']
33566,"[TextBlock(text='[\n  {\n    ""sid"": ""33566"",\n    ""Technique ID"": ""T1190"",\n    ""Technique name"": ""Exploit Public-Facing Application"",\n    ""Quotes"": [""The rule detects an attempt to exploit a heap overflow vulnerability in the XSL parsing engine of Mozilla Firefox 3, which is a public-facing application.""],\n    ""Explanation"": ""This technique involves attempting to exploit software vulnerabilities in internet-facing servers or software. The Snort rule is designed to detect an attempt to exploit a specific vulnerability in the Mozilla Firefox 3 web browser, which is a public-facing application.""\n  },\n  {\n    ""sid"": ""33566"",\n    ""Technique ID"": ""T1211"",\n    ""Technique name"": ""Exploitation for Client Execution"",\n    ""Quotes"": [""The rule detects an attempt to exploit a heap overflow vulnerability in the XSL parsing engine of Mozilla Firefox 3, which could potentially lead to code execution on the client system.""],\n    ""Explanation"": ""This technique involves exploiting software vulnerabilities to execute code on a target system. The Snort rule is designed to detect an attempt to exploit a vulnerability in the Mozilla Firefox 3 web browser, which could potentially lead to code execution on the client system.""\n  }\n]', type='text')]","['T1190', 'T1211']",['T1220']
25579,"[TextBlock(text='[\n  {\n    ""sid"": ""25579"",\n    ""Technique ID"": ""T1192"",\n    ""Technique name"": ""Spearphishing Link"",\n    ""Quotes"": [""The rule detects a malicious HTTP response that attempts to deliver a malware payload disguised as a \'BookingInfo.zip\' file, which is a common tactic used in spearphishing attacks.""],\n    ""Explanation"": ""This technique involves sending malicious links to victims in an attempt to get them to download and execute malware. The rule is designed to detect this type of activity by looking for specific patterns in the HTTP response that indicate a spearphishing attack.""\n  },\n  {\n    ""sid"": ""25579"",\n    ""Technique ID"": ""T1566"",\n    ""Technique name"": ""Phishing"",\n    ""Quotes"": [""The rule explicitly mentions \'phishing attack\' in the message field, indicating that it is designed to detect phishing attempts.""],\n    ""Explanation"": ""Phishing is a technique used by adversaries to trick victims into revealing sensitive information or performing actions that enable further compromise. The rule is designed to detect phishing attempts by looking for specific patterns in the HTTP response that are commonly used in phishing attacks.""\n  }\n]', type='text')]","['T1192', 'T1566']",['T1566']
24705,"[TextBlock(text='[\n  {\n    ""sid"": ""24705"",\n    ""Technique ID"": ""T1190"",\n    ""Technique name"": ""Exploit Public-Facing Application"",\n    ""Quotes"": [""The rule detects a SQL injection attempt against the CA Total Defense management.asmx web application, which is a public-facing application.""],\n    ""Explanation"": ""The rule is designed to detect an attempted SQL injection attack targeting a public-facing web application, which aligns with the \'Exploit Public-Facing Application\' technique in MITRE ATT&CK.""\n  },\n  {\n    ""sid"": ""24705"", \n    ""Technique ID"": ""T1059"",\n    ""Technique name"": ""Command and Scripting Interpreter"",\n    ""Quotes"": [""The rule looks for a specific pattern (/<SelectedID[^<]+?(\\x3B|%3B)/im) in the HTTP client body, which may indicate an attempt to inject malicious SQL commands or scripts.""],\n    ""Explanation"": ""The rule attempts to detect potential SQL injection, which could involve leveraging a command and scripting interpreter (such as SQL) to execute malicious commands or scripts on the target system.""\n  }\n]', type='text')]","['T1190', 'T1059']",['T1190']
13237,"[TextBlock(text='[\n  {\n    ""sid"": ""13237"",\n    ""Technique ID"": ""T1056"",\n    ""Technique name"": ""Input Capture"",\n    ""Quotes"": [""The rule detects activity related to the Keylogger 3.9.2 malware, which is designed to capture user input data such as keystrokes.""],\n    ""Explanation"": ""The rule is specifically looking for indicators of the Keylogger 3.9.2 malware, which employs the Input Capture technique to steal sensitive information by recording keystrokes and other user input.""\n  },\n  {\n    ""sid"": ""13237"", \n    ""Technique ID"": ""T1048"",\n    ""Technique name"": ""Exfiltration Over Alternative Protocol"",\n    ""Quotes"": [""The rule detects the malware attempting to exfiltrate captured data by sending a ZIP file named \'akllogs.zip\' over SMTP (email).""],\n    ""Explanation"": ""The rule is detecting the malware using an alternative protocol (SMTP/email) to exfiltrate the captured keylogger data, which is a common technique used by malware to bypass security controls and blend in with legitimate traffic.""\n  }\n]', type='text')]","['T1056', 'T1048']",['T1056']
32104,"[TextBlock(text='[\n  {\n    ""sid"": ""32104"",\n    ""Technique ID"": ""T1203"",\n    ""Technique name"": ""Exploitation for Client Execution"",\n    ""Quotes"": [""The rule detects an attempt to exploit an Oracle WebCenter Content ActiveX control vulnerability (CheckOutAndOpen.dll) that could allow remote code execution on the client system.""],\n    ""Explanation"": ""This technique involves exploiting software vulnerabilities in client applications to execute code on the target system. The Snort rule is designed to detect and alert on such exploitation attempts targeting the Oracle WebCenter Content ActiveX control.""\n  },\n  {\n    ""sid"": ""32104"",\n    ""Technique ID"": ""T1059"",\n    ""Technique name"": ""Command and Scripting Interpreter"",\n    ""Quotes"": [""The rule also looks for the \'.hta\' file extension, which is associated with HTML Application (HTA) files that can execute scripts and commands on the client system.""],\n    ""Explanation"": ""The presence of \'.hta\' file extension in the rule suggests that the exploitation attempt may involve the use of an HTA file to execute scripts or commands on the compromised client system, which aligns with the Command and Scripting Interpreter technique.""\n  }\n]', type='text')]","['T1203', 'T1059']",['T1218']
17386,"[TextBlock(text='[\n  {\n    ""sid"": ""17386"",\n    ""Technique ID"": ""T1190"",\n    ""Technique name"": ""Exploit Public-Facing Application"",\n    ""Quotes"": [""The rule detects an attempt to exploit a vulnerability in the Lighttpd web server\'s mod_fastcgi module, which allows overwriting of CGI environment variables, potentially leading to unauthorized access or code execution.""],\n    ""Explanation"": ""This technique involves attempting to exploit a vulnerability in a public-facing application, in this case, the Lighttpd web server, to gain unauthorized access or execute malicious code.""\n  },\n  {\n    ""sid"": ""17386"", \n    ""Technique ID"": ""T1211"",\n    ""Technique name"": ""Exploitation for Credential Access"",\n    ""Quotes"": [""The rule detects an attempt to exploit a vulnerability that could potentially lead to unauthorized access, which aligns with the goal of credential access in the ATT&CK framework.""],\n    ""Explanation"": ""The exploitation attempt detected by the rule could be a precursor to gaining unauthorized access to credentials or other sensitive data, which is the objective of the Exploitation for Credential Access technique.""\n  }\n]', type='text')]","['T1190', 'T1211']",['T1087']
21318,"[TextBlock(text='[\n  {\n    ""sid"": ""21318"",\n    ""Technique ID"": ""T1071.001"",\n    ""Technique name"": ""Malicious Web Site"",\n    ""Quotes"": [""The rule detects outbound connections from a compromised host to an external web server, which could be a malicious website used for command and control or distributing malware.""],\n    ""Explanation"": ""The rule is looking for a specific pattern in the HTTP request headers and data, which is indicative of a Trojan malware variant (Win.Trojan.FakeAV TDSS/PurpleHaze) attempting to communicate with an external server. This behavior aligns with the Malicious Web Site technique, where malware uses a web server for command and control or to download additional payloads.""\n  },\n  {\n    ""sid"": ""21318"",\n    ""Technique ID"": ""T1071.003"",\n    ""Technique name"": ""Client-Server Communication"",\n    ""Quotes"": [""The rule detects outbound connections from a compromised host to an external web server, which could be used for command and control communication between the malware and a remote server.""],\n    ""Explanation"": ""The rule is designed to detect a specific pattern in the HTTP request headers and data, which suggests that the malware is attempting to communicate with an external server. This behavior is consistent with the Client-Server Communication technique, where malware establishes a communication channel with a remote server for command and control purposes.""\n  }\n]', type='text')]",['T1071'],['T1001']
