Sid,Response,Technique_id,True_labels,Predicted_labels
50106,"[TextBlock(text='[\n  {\n    ""sid"": ""50106"",\n    ""Technique ID"": ""T1557"",\n    ""Technique name"": ""Adversary-in-the-Middle"",\n    ""Quotes"": [""Adversaries may attempt to insert themselves into communication channels between two legitimate hosts to gain access to data flows.""],\n    ""Explanation"": ""This rule detects an attempt to perform an SMB relay attack, which is a type of adversary-in-the-middle attack where the attacker relays SMB traffic between a client and server to gain unauthorized access.""\n  },\n  {\n    ""sid"": ""50106"", \n    ""Technique ID"": ""T1557.001"",\n    ""Technique name"": ""LLMNR/NBT-NS Poisoning and SMB Relay"",\n    ""Quotes"": [""Adversaries may spoof an authoritative source for Name Resolution to conduct LLMNR/NBT-NS Poisoning and possibly lead to an SMB Relay attack.""],\n    ""Explanation"": ""The rule specifically mentions detecting a \'Responder poisoner SMB attack attempt\', which refers to using the Responder tool to poison LLMNR/NBT-NS traffic and perform an SMB relay attack.""\n  }\n]', type='text')]",['T1557'],['TA0006'],"['TA0006', 'TA0009']"
1564,"[TextBlock(text='[\n  {\n    ""sid"": ""1564"",\n    ""Technique ID"": ""T1190"",\n    ""Technique name"": ""Exploit Public-Facing Application"",\n    ""Quotes"": [""Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network.""],\n    ""Explanation"": ""This rule detects access to the login.htm page, which could be an attempt to exploit a vulnerability in a public-facing web application to gain initial access.""\n  },\n  {\n    ""sid"": ""1564"", \n    ""Technique ID"": ""T1078"",\n    ""Technique name"": ""Valid Accounts"",\n    ""Quotes"": [""Adversaries may attempt to login to systems using valid accounts to initially access a system.""],\n    ""Explanation"": ""The rule could also be detecting legitimate access attempts to the login page, which may involve the use of valid accounts to gain access to the system or application.""\n  }\n]', type='text')]","['T1190', 'T1078']",['TA0001'],"['TA0005', 'TA0001', 'TA0004', 'TA0003']"
20158,"[TextBlock(text='[\n  {\n    ""sid"": ""20158"",\n    ""Technique ID"": ""T1078"",\n    ""Technique name"": ""Valid Accounts"",\n    ""Quotes"": [""Adversaries may attempt to log in to an existing account using valid credentials.""],\n    ""Explanation"": ""This rule detects attempts to log in to the Oracle GlassFish Server using the default administrative credentials (username \'admin\' and password \'adminadmin\'), which is an example of using valid accounts for initial access or persistence.""\n  },\n  {\n    ""sid"": ""20158"", \n    ""Technique ID"": ""T1190"",\n    ""Technique name"": ""Exploit Public-Facing Application"",\n    ""Quotes"": [""Adversaries may attempt to take advantage of a weakness in an Internet-facing computer or program to gain initial access to a system.""],\n    ""Explanation"": ""This rule is looking for exploitation attempts against the Oracle GlassFish Server, which is a public-facing web application server, by trying to log in with default credentials.""\n  }\n]', type='text')]","['T1078', 'T1190']","['TA0005', 'TA0001', 'TA0004', 'TA0003']","['TA0005', 'TA0001', 'TA0004', 'TA0003']"
10088,"[TextBlock(text='[\n  {\n    ""sid"": ""10088"",\n    ""Technique ID"": ""T1056"",\n    ""Technique name"": ""Input Capture"",\n    ""Quotes"": [""Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information.""],\n    ""Explanation"": ""This rule detects activity related to the \'Beyond Keylogger\' malware, which is designed to capture user input data like keystrokes, indicating the use of the Input Capture technique.""\n  },\n  {\n    ""sid"": ""10088"", \n    ""Technique ID"": ""T1071"",\n    ""Technique name"": ""Application Layer Protocol"",\n    ""Quotes"": [""Adversaries may use an application layer protocol for communication between host and C2 server or among hosts within a network.""],\n    ""Explanation"": ""The rule looks for the keylogger malware sending captured data via SMTP (email), which is an application layer protocol, suggesting the use of this technique for command and control communication.""\n  }\n]', type='text')]","['T1056', 'T1071']","['TA0006', 'TA0009']","['TA0006', 'TA0011', 'TA0009']"
5783,"[TextBlock(text='[\n  {\n    ""sid"": ""5783"",\n    ""Technique ID"": ""T1056"",\n    ""Technique name"": ""Input Capture"",\n    ""Quotes"": [""Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information.""],\n    ""Explanation"": ""This rule detects a keylogger malware sending captured keystrokes via email, which is a form of input capture.""\n  },\n  {\n    ""sid"": ""5783"", \n    ""Technique ID"": ""T1071"",\n    ""Technique name"": ""Application Layer Protocol"",\n    ""Quotes"": [""Adversaries may use an application layer protocol for communication between host and C2 server or among hosts within a network.""],\n    ""Explanation"": ""The rule looks for keylogger data being sent over SMTP (email protocol), which is an application layer protocol often used by malware for command and control communication.""\n  }\n]', type='text')]","['T1056', 'T1071']","['TA0006', 'TA0009']","['TA0006', 'TA0011', 'TA0009']"
29379,"[TextBlock(text='[\n  {\n    ""sid"": ""29379"",\n    ""Technique ID"": ""T1020"",\n    ""Technique name"": ""Data Obfuscation"",\n    ""Quotes"": [""The rule looks for outbound encrypted traffic from a Trojan dropper, which could be used for data exfiltration. This aligns with the Data Obfuscation technique, which involves obfuscating data to hide its information content.""],\n    ""Explanation"": ""The rule detects potential data exfiltration by a Trojan dropper using encrypted traffic, which is a form of data obfuscation to hide the content being exfiltrated.""\n  },\n  {\n    ""sid"": ""29379"", \n    ""Technique ID"": ""T1041"",\n    ""Technique name"": ""Exfiltration Over C2 Channel"",\n    ""Quotes"": [""The rule specifically mentions \'potential exfiltration\' over outbound traffic from a Trojan, which suggests the use of a command and control channel for data exfiltration.""],\n    ""Explanation"": ""The rule is looking for signs of a Trojan dropper potentially exfiltrating data over an encrypted command and control channel, which aligns with the Exfiltration Over C2 Channel technique.""\n  }\n]', type='text')]","['T1020', 'T1041']",['TA0010'],['TA0010']
7176,"[TextBlock(text='[\n  {\n    ""sid"": ""7176"",\n    ""Technique ID"": ""T1056"",\n    ""Technique name"": ""Input Capture"",\n    ""Quotes"": [""Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information.""],\n    ""Explanation"": ""This rule detects activity related to the \'ab system spy\' keylogger, which is designed to capture user input data like keystrokes.""\n  },\n  {\n    ""sid"": ""7176"", \n    ""Technique ID"": ""T1219"",\n    ""Technique name"": ""Remote Access Software"",\n    ""Quotes"": [""Adversaries may use legitimate desktop sharing software to establish remote control over a target system.""],\n    ""Explanation"": ""The rule mentions \'log retrieve\', which suggests the keylogger is attempting to retrieve captured data from the victim system, likely using some form of remote access capability.""\n  }\n]', type='text')]","['T1056', 'T1219']","['TA0006', 'TA0009']","['TA0006', 'TA0011', 'TA0009']"
58733,"[TextBlock(text='[\n  {\n    ""sid"": ""58733"",\n    ""Technique ID"": ""T1190"",\n    ""Technique name"": ""Exploit Public-Facing Application"",\n    ""Quotes"": [""Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network.""],\n    ""Explanation"": ""This rule detects attempts to exploit the Log4j vulnerability in Apache web servers, which is a public-facing application. The rule looks for specific patterns in the HTTP client body that indicate an attempt to trigger the Log4j remote code execution vulnerability.""\n  },\n  {\n    ""sid"": ""58733"", \n    ""Technique ID"": ""T1211"",\n    ""Technique name"": ""Exploitation for Client Execution"",\n    ""Quotes"": [""Adversaries may exploit software vulnerabilities in Internet-facing systems to execute code remotely.""],\n    ""Explanation"": ""This rule aims to detect exploitation attempts targeting the Log4j vulnerability, which could allow remote code execution on the vulnerable Apache web server. The rule looks for specific patterns in the HTTP client body that resemble the payload used to trigger the Log4j remote code execution flaw.""\n  }\n]', type='text')]","['T1190', 'T1211']",['TA0001'],"['TA0005', 'TA0001']"
24087,"[TextBlock(text='[\n  {\n    ""sid"": ""24087"",\n    ""Technique ID"": ""T1572"",\n    ""Technique name"": ""Protocol Tunneling"",\n    ""Quotes"": [""Adversaries may abuse protocol tunneling to encapsulate, transport, and obtain traffic in a way that bypasses protection boundaries.""],\n    ""Explanation"": ""This rule detects the Bledoor Trojan, which tunnels TCP traffic over UDP port 53 (DNS) to bypass firewalls and network monitoring. The rule looks for specific byte patterns in the UDP payload that indicate encapsulated TCP traffic.""\n  },\n  {\n    ""sid"": ""24087"", \n    ""Technique ID"": ""T1071"",\n    ""Technique name"": ""Application Layer Protocol"",\n    ""Quotes"": [""Adversaries may use an application layer protocol for communication between host and C2 server or among nodes within a service.""],\n    ""Explanation"": ""The Bledoor Trojan uses DNS (UDP port 53) as an application layer protocol to tunnel TCP traffic and communicate with its C2 server, evading detection.""\n  }\n]', type='text')]","['T1572', 'T1071']",['TA0010'],['TA0011']
7551,"[TextBlock(text='[\n  {\n    ""sid"": ""7551"",\n    ""Technique ID"": ""T1056"",\n    ""Technique name"": ""Input Capture"",\n    ""Quotes"": [""Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information.""],\n    ""Explanation"": ""This rule detects activity related to the Ardamax keylogger, which is designed to capture user input data like keystrokes and send it over SMTP (email). The rule looks for specific patterns in the X-Mailer header that match the Ardamax keylogger\'s SMTP traffic.""\n  },\n  {\n    ""sid"": ""7551"", \n    ""Technique ID"": ""T1071"",\n    ""Technique name"": ""Application Layer Protocol"",\n    ""Quotes"": [""Adversaries may use an application layer protocol for communication between host and C2 server or among nodes within a network.""],\n    ""Explanation"": ""The rule detects the Ardamax keylogger sending captured data over SMTP (email), which is an application layer protocol. Adversaries often use common protocols like SMTP to blend in with normal network traffic.""\n  }\n]', type='text')]","['T1056', 'T1071']","['TA0006', 'TA0009']","['TA0006', 'TA0011', 'TA0009']"
