Sid,Response,Technique_id,True_labels,Predicted_labels
50106,"[TextBlock(text='[\n  {\n    ""sid"": ""50106"",\n    ""Technique ID"": ""T1557.001"",\n    ""Technique Name"": ""Responder Poisoning"",\n    ""Quotes"": [\n      ""INDICATOR-COMPROMISE Responder poisoner SMB attack attempt""\n    ],\n    ""Explanation"": ""The Snort rule is specifically designed to detect attempts to perform Responder poisoning, which is a technique used to conduct man-in-the-middle attacks by poisoning the browser cache or spoofing an authentication server. The rule looks for specific content related to the Responder tool, which is commonly used for this attack.""\n  },\n  {\n    ""sid"": ""50106"",\n    ""Technique ID"": ""T1557"",\n    ""Technique Name"": ""Man-in-the-Middle"",\n    ""Quotes"": [\n      ""INDICATOR-COMPROMISE Responder poisoner SMB attack attempt""\n    ],\n    ""Explanation"": ""The Snort rule is aimed at detecting a specific type of man-in-the-middle attack known as Responder poisoning. Man-in-the-middle attacks involve positioning an attacker between two legitimate parties to intercept and potentially modify communications, which is the goal of Responder poisoning.""\n  }\n]', type='text')]",['T1557'],['TA0006'],"['TA0006', 'TA0009']"
1564,"[TextBlock(text='[\n  {\n    ""sid"": ""1564"",\n    ""Technique ID"": ""T1190"",\n    ""Technique Name"": ""Exploit Public-Facing Application"",\n    ""Quotes"": [\n      ""The Snort rule is looking for HTTP traffic to web servers on specific ports with the URI path /login.htm, which could indicate an attempt to exploit a public-facing login page.""\n    ],\n    ""Explanation"": ""The Snort rule appears to be detecting potential exploitation attempts against a public-facing web application login page. This aligns with the MITRE ATT&CK technique \'Exploit Public-Facing Application\', which involves an adversary attempting to exploit software vulnerabilities in internet-facing systems.""\n  },\n  {\n    ""sid"": ""1564"",\n    ""Technique ID"": ""T1133"",\n    ""Technique Name"": ""External Remote Services"",\n    ""Quotes"": [\n      ""The rule is monitoring traffic from external networks ($EXTERNAL_NET) to HTTP servers ($HTTP_SERVERS), which could be an attempt to leverage external remote services for malicious purposes.""\n    ],\n    ""Explanation"": ""The Snort rule is monitoring traffic from external networks to web servers, which could be an attempt to leverage external remote services for malicious purposes, such as command and control or data exfiltration. This aligns with the MITRE ATT&CK technique \'External Remote Services\', which involves the use of external web services for various malicious purposes.""\n  }\n]', type='text')]","['T1190', 'T1133']",['TA0001'],"['TA0003', 'TA0001']"
20158,"[TextBlock(text='[\n  {\n    ""sid"": ""20158"",\n    ""Technique ID"": ""T1078"",\n    ""Technique Name"": ""Valid Accounts"",\n    ""Quotes"": [\n      ""Oracle GlassFish Server default credentials login attempt"",\n      ""j_username=admin"",\n      ""j_password=(&|$|adminadmin)""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect attempts to log in to the Oracle GlassFish Server using the default administrative credentials. This aligns with the Valid Accounts technique, which involves using legitimate credentials to gain initial access or elevate privileges.""\n  },\n  {\n    ""sid"": ""20158"",\n    ""Technique ID"": ""T1190"",\n    ""Technique Name"": ""Exploit Public-Facing Application"",\n    ""Quotes"": [\n      ""SERVER-WEBAPP Oracle GlassFish Server default credentials login attempt""\n    ],\n    ""Explanation"": ""The Snort rule is specifically targeting attempts to exploit the Oracle GlassFish Server, which is a public-facing web application. This relates to the Exploit Public-Facing Application technique, where adversaries attempt to exploit vulnerabilities in internet-facing applications.""\n  }\n]', type='text')]","['T1078', 'T1190']","['TA0005', 'TA0001', 'TA0004', 'TA0003']","['TA0005', 'TA0001', 'TA0004', 'TA0003']"
10088,"[TextBlock(text='[\n  {\n    ""sid"": ""10088"",\n    ""Technique ID"": ""T1071.001"",\n    ""Technique Name"": ""Malicious Link"",\n    ""Quotes"": [\n      ""\\""MALWARE-OTHER Keylogger beyond Keylogger runtime detection - log sent by smtp\\""""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect a keylogger malware that sends logs via SMTP (email). This aligns with the Malicious Link technique, where malware is delivered or downloaded onto a system via a malicious link or attachment.""\n  },\n  {\n    ""sid"": ""10088"",\n    ""Technique ID"": ""T1020"",\n    ""Technique Name"": ""Automated Exfiltration"",\n    ""Quotes"": [\n      ""\\""MALWARE-OTHER Keylogger beyond Keylogger runtime detection - log sent by smtp\\""""\n    ],\n    ""Explanation"": ""The Snort rule is specifically looking for a keylogger malware that automatically exfiltrates (sends out) logs via SMTP (email), which falls under the Automated Exfiltration technique.""\n  }\n]', type='text')]","['T1071', 'T1020']","['TA0006', 'TA0009']","['TA0011', 'TA0010']"
5783,"[TextBlock(text='[\n  {\n    ""sid"": ""5783"",\n    ""Technique ID"": ""T1056"",\n    ""Technique Name"": ""Input Capture"",\n    ""Quotes"": [\n      ""\\""HWAE Keystrokes LOG\\""""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect keylogger activity, which falls under the Input Capture technique in MITRE ATT&CK. The rule specifically looks for the string \'HWAE Keystrokes LOG\' in the email subject, indicating that it is capturing keystrokes from the victim\'s system.""\n  },\n  {\n    ""sid"": ""5783"", \n    ""Technique ID"": ""T1071"",\n    ""Technique Name"": ""Application Layer Protocol"",\n    ""Quotes"": [\n      ""\\""service:smtp;\\""""\n    ],\n    ""Explanation"": ""The Snort rule is looking for traffic over the SMTP protocol, which is an application layer protocol used for sending emails. This aligns with the Application Layer Protocol technique in MITRE ATT&CK, as the attacker is likely using SMTP to exfiltrate the captured keystrokes.""\n  }\n]', type='text')]","['T1056', 'T1071']","['TA0006', 'TA0009']","['TA0006', 'TA0011', 'TA0009']"
29379,"[TextBlock(text='[\n  {\n    ""sid"": ""29379"",\n    ""Technique ID"": ""T1020"",\n    ""Technique Name"": ""Remote Data Staging"",\n    ""Quotes"": [\n      ""potential exfiltration""\n    ],\n    ""Explanation"": ""The Snort rule mentions \'potential exfiltration\', which aligns with the Remote Data Staging technique where data is transmitted from a compromised system to an external location.""\n  },\n  {\n    ""sid"": ""29379"", \n    ""Technique ID"": ""T1071"",\n    ""Technique Name"": ""Application Layer Protocol"",\n    ""Quotes"": [\n      ""outbound encrypted traffic""\n    ],\n    ""Explanation"": ""The rule detects encrypted outbound traffic, which could be an indicator of the Application Layer Protocol technique where data is transmitted over an encrypted protocol like HTTPS.""\n  }\n]', type='text')]","['T1020', 'T1071']",['TA0010'],"['TA0011', 'TA0010']"
7176,"[TextBlock(text='[\n  {\n    ""sid"": ""7176"",\n    ""Technique ID"": ""T1056"",\n    ""Technique Name"": ""Input Capture"",\n    ""Quotes"": [\n      ""MALWARE-OTHER Keylogger ab system spy runtime detection - log retrieve""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect a keylogger malware called \'ab system spy\' that captures user input, which aligns with the Input Capture technique in ATT&CK.""\n  },\n  {\n    ""sid"": ""7176"", \n    ""Technique ID"": ""T1041"",\n    ""Technique Name"": ""Exfiltration Over C2 Channel"",\n    ""Quotes"": [\n      ""log retrieve""\n    ],\n    ""Explanation"": ""The rule mentions \'log retrieve\', which suggests that the keylogger malware is attempting to exfiltrate the captured keystrokes or logs over a command and control (C2) channel, corresponding to the Exfiltration Over C2 Channel technique.""\n  }\n]', type='text')]","['T1056', 'T1041']","['TA0006', 'TA0009']","['TA0006', 'TA0009', 'TA0010']"
58733,"[TextBlock(text='[\n  {\n    ""sid"": ""58733"",\n    ""Technique ID"": ""T1190"",\n    ""Technique Name"": ""Exploit Public-Facing Application"",\n    ""Quotes"": [\n      ""Apache Log4j logging remote code execution attempt""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect attempts to exploit the Log4j vulnerability in Apache web servers, which is a public-facing application. This vulnerability allows remote code execution, which aligns with the \'Exploit Public-Facing Application\' technique.""\n  },\n  {\n    ""sid"": ""58733"",\n    ""Technique ID"": ""T1059"",\n    ""Technique Name"": ""Command and Scripting Interpreter"",\n    ""Quotes"": [\n      ""remote code execution attempt""\n    ],\n    ""Explanation"": ""The Snort rule is looking for attempts to execute remote code on the targeted system, which could involve the use of command and scripting interpreters like PowerShell, Bash, or others. This technique is often used in conjunction with exploiting public-facing applications.""\n  }\n]', type='text')]","['T1190', 'T1059']",['TA0001'],"['TA0002', 'TA0001']"
24087,"[TextBlock(text='[\n  {\n    ""sid"": ""24087"",\n    ""Technique ID"": ""T1572"",\n    ""Technique Name"": ""Protocol Tunneling"",\n    ""Quotes"": [\n      ""\\""MALWARE-CNC Win.Trojan.Bledoor TCP tunnel in UDP\\""""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect a malware called Win.Trojan.Bledoor, which tunnels TCP traffic over UDP, a technique known as Protocol Tunneling (T1572) in MITRE ATT&CK.""\n  },\n  {\n    ""sid"": ""24087"",\n    ""Technique ID"": ""T1071"",\n    ""Technique Name"": ""Application Layer Protocol"",\n    ""Quotes"": [\n      ""\\""service:dns\\""""\n    ],\n    ""Explanation"": ""The Snort rule specifies that the malicious traffic is using the DNS protocol, which falls under the Application Layer Protocol (T1071) technique in MITRE ATT&CK.""\n  }\n]', type='text')]","['T1572', 'T1071']",['TA0010'],['TA0011']
7551,"[TextBlock(text='[\n  {\n    ""sid"": ""7551"",\n    ""Technique ID"": ""T1071.001"",\n    ""Technique Name"": ""Malicious Link"",\n    ""Quotes"": [\n      ""\\""X-Mailer|3A|\\"""",\n      ""\\""ATL\\"""",\n      ""\\""CSmtp\\"""",\n      ""\\""Class\\"""",\n      ""\\""Mailer\\"""",\n      ""\\""by\\"""",\n      ""\\""Robert\\"""",\n      ""\\""Simpson\\""""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect a specific keylogger malware called \'ardamax keylogger\' by looking for specific patterns in the email headers sent by the malware. These patterns, such as \'X-Mailer\', \'ATL\', \'CSmtp\', \'Class\', \'Mailer\', \'by\', \'Robert\', and \'Simpson\', are indicative of the malware\'s behavior and can be considered as a form of malicious link or artifact used for command and control purposes.""\n  },\n  {\n    ""sid"": ""7551"",\n    ""Technique ID"": ""T1071"",\n    ""Technique Name"": ""Application Layer Protocol"",\n    ""Quotes"": [\n      ""service:smtp""\n    ],\n    ""Explanation"": ""The Snort rule specifically targets the SMTP (Simple Mail Transfer Protocol) service, which is an application layer protocol used for sending and receiving emails. By specifying \'service:smtp\' in the rule, it is designed to detect malicious activity related to the \'ardamax keylogger\' malware that utilizes the SMTP protocol for communication or data exfiltration purposes.""\n  }\n]', type='text')]",['T1071'],"['TA0006', 'TA0009']",['TA0011']
