Sid,Response,Technique_id,True_labels
50106,"[
     {
         ""sid"": ""50106"",
         ""Technique ID"": ""T1557"",
         ""Technique Name"": ""Man-in-the-Middle"",
         ""Quotes"": ""Man-in-the-middle attacks can be used to intercept and relay communications between two parties who believe they are directly communicating with each other."",
         ""Explanation"": ""The rule identifies traffic characteristic of the Responder tool, which is used in poisoning attacks on SMB to conduct man-in-the-middle attacks.""
     },
     {
         ""sid"": ""50106"",
         ""Technique ID"": ""T1021.002"",
         ""Technique Name"": ""Remote Services: SMB/Windows Admin Shares"",
         ""Quotes"": ""SMB/Windows Admin Shares can be abused to enable attackers to move laterally within networks."",
         ""Explanation"": ""Since the rule detects an SMB attack attempt, it aligns with techniques related to the abuse of SMB protocols for malicious purposes.""
     }
 ]","['T1557', 'T1021.002']",['T1187']
1564,"[
     {
         ""sid"": ""1564"",
         ""Technique ID"": ""T1078"",
         ""Technique Name"": ""Valid Accounts"",
         ""Quotes"": ""Adversaries may use valid accounts to log into a service specifically by interacting with the accessible login interface."",
         ""Explanation"": ""The rule detects attempts to access a login page, indicating the potential use of stolen or otherwise acquired valid account credentials to gain unauthorized access.""
     }
 ]",['T1078'],['T1190']
20158,"[
     {
         ""sid"": ""20158"",
         ""Technique ID"": ""T1078"",
         ""Technique name"": ""Valid Accounts"",
         ""Quotes"": ""Adversaries may obtain and abuse credentials of existing accounts as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion."",
         ""Explanation"": ""The rule detects attempts to log in using default credentials to an Oracle GlassFish Server, indicating the exploitation of default admin accounts.""
     }
 ]",['T1078'],['T1078']
10088,"[
     {
         ""sid"": ""10088"",
         ""Technique ID"": ""T1056"",
         ""Technique Name"": ""Input Capture"",
         ""Quotes"": ""Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information."",
         ""Explanation"": ""This rule detects an instance where a keylogger report is being sent over SMTP, indicating that input capture has been done to collect sensitive information from keystrokes.""
     },
     {
         ""sid"": ""10088"",
         ""Technique ID"": ""T1566.003"",
         ""Technique Name"": ""Phishing: Spearphishing Attachment"",
         ""Quotes"": ""Spearphishing attachment is a social engineering technique used by adversaries to send crafted emails designed to convince targeted individuals to open an attachment to deliver malicious content."",
         ""Explanation"": ""Although this rule relates to sending data via SMTP, its association with keyloggers implies a potential prior phishing attack that installed the keylogger, hence mapping to this technique underscores the lifecycle of compromise.""
     }
 ]","['T1056', 'T1566.003']",['T1056']
5783,"[
     {
         ""sid"": ""5783"",
         ""Technique ID"": ""T1056"",
         ""Technique name"": ""Input Capture"",
         ""Quotes"": ""Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information."",
         ""Explanation"": ""The rule detects the transmission of a log file over SMTP that contains keystrokes, indicative of a keylogger capturing user inputs.""
     },
     {
         ""sid"": ""5783"",
         ""Technique ID"": ""T1566"",
         ""Technique name"": ""Phishing"",
         ""Quotes"": ""Phishing pertains to the use of a communication channel for the purpose of tricking the recipient into revealing credentials or downloading malware."",
         ""Explanation"": ""The rule involves SMTP service, which could suggest an email exfiltration or phishing approach to deliver or communicate with the keylogger.""
     }
 ]","['T1056', 'T1566']",['T1056']
29379,"[
     {
         ""Sid"": ""29379"",
         ""Technique ID"": ""T1020"",
         ""Technique Name"": ""Exfiltration Over C2 Channel"",
         ""Quotes"": ""Data exfiltration is performed with the command and control channel. The adversary may attempt to take advantage of a command and control channel to exfiltrate data as an additional level of stealth or for efficiency."",
         ""Explanation"": ""The IDS rule detects potential encrypted traffic via specified ports commonly used by Trojans for data exfiltration, implying usage of the C2 channel to stealthily transmit data.""
     }
 ]",['T1020'],['T1020']
7176,"[
     {
         ""sid"": ""7176"",
         ""Technique ID"": ""T1056"",
         ""Technique name"": ""Input Capture"",
         ""Quotes"": ""Input Capture techniques include capturing keyboard input (e.g., keylogging)."",
         ""Explanation"": ""The rule detects the retrieval of logs by a keylogger, which is indicative of capturing input data as performed by keyloggers.""
     }
 ]",['T1056'],['T1056']
58733,"[
     {
         ""sid"": ""58733"",
         ""Technique ID"": ""T1190"",
         ""Technique name"": ""Exploit Public-Facing Application"",
         ""Quotes"": ""Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network."",
         ""Explanation"": ""This rule detects attempts to exploit a vulnerability in Apache Log4j, a publicly accessible application, using a remote code execution payload in the HTTP client body.""
     }
 ]",['T1190'],['T1190']
24087,"[
     {
         ""Sid"": ""24087"",
         ""Technique ID"": ""T1071"",
         ""Technique Name"": ""Application Layer Protocol"",
         ""Quotes"": ""Adversaries may use application layer protocols in conjunction with other techniques to hide malicious traffic as traffic that looks like it is from a legitimate source, making detection harder."",
         ""Explanation"": ""This rule identifies traffic that potentially masquerades as DNS traffic yet carries characteristics typical of TCP traffic, which might indicate that a higher-level protocol like HTTP is being tunneled over DNS.""
     }
 ]",['T1071'],['T1048']
7551,"[
     {
         ""sid"": ""7551"",
         ""Technique ID"": ""T1056"",
         ""Technique name"": ""Input Capture"",
         ""Quotes"": ""Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information."",
         ""Explanation"": ""The rule detects SMTP traffic associated with the Ardamax keylogger, a known malware that captures keystrokes and other input data, typically sending this data to a remote attacker.""
     }
 ]",['T1056'],['T1056']
30516,"[
     {
         ""sid"": ""30516"",
         ""Technique ID"": ""T1190"",
         ""Technique name"": ""Exploit Public-Facing Application"",
         ""Quotes"": ""Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network."",
         ""Explanation"": ""This rule detects attempts to exploit the Heartbleed vulnerability in OpenSSL, which is an example of attacking public-facing applications to extract sensitive data.""
     }
 ]",['T1190'],['T1123']
26803,"[
     {
         ""sid"": ""26803"",
         ""Technique ID"": ""T1071"",
         ""Technique name"": ""Application Layer Protocol"",
         ""Quotes"": ""Adversaries may use application layer protocols to bypass network monitoring by using them in a manner that can blend in with existing traffic."",
         ""Explanation"": ""The rule detects anomalies in the DNS protocol which indicates data exfiltration via DNS requests. This is an example of using DNS as an application layer protocol for surreptitious communication.""
     },
     {
         ""sid"": ""26803"",
         ""Technique ID"": ""T1048"",
         ""Technique name"": ""Exfiltration Over Alternative Protocol"",
         ""Quotes"": ""Adversaries may exfiltrate data over a different protocol than the standard protocol for a given system."",
         ""Explanation"": ""The detection of an exfiltration attempt over DNS (normally used for domain name resolution) fits this technique, which involves the use of non-standard protocols for exfiltration to evade detection.""
     }
 ]","['T1071', 'T1048']",['T1020']
33566,"[
     {
         ""Sid"": ""33566"",
         ""Technique ID"": ""T1203"",
         ""Technique name"": ""Exploitation for Client Execution"",
         ""Quotes"": ""An adversary may execute a binary, command, or script via another vulnerability."",
         ""Explanation"": ""This rule detects attempts to exploit a heap overflow vulnerability in Mozilla Firefox's XSL parsing, potentially leading to execution of arbitrary code on the client's system.""
     }
 ]",['T1203'],['T1220']
25579,"[
     {
         ""Sid"": ""25579"",
         ""Technique ID"": ""T1566"",
         ""Technique Name"": ""Phishing"",
         ""Quotes"": ""Phishing techniques include sending content through fraudulent messages to trick users into revealing sensitive information, installing malware, or initiating other harmful activities."",
         ""Explanation"": ""The rule is designed to detect a phishing attack by identifying HTTP responses that appear to be a fake booking information archive, indicative of a phishing technique to deceive users.""
     }
 ]",['T1566'],['T1566']
24705,"{
     ""sid"": ""24705"",
     ""Technique ID"": ""T1190"",
     ""Technique name"": ""Exploit Public-Facing Application"",
     ""Quotes"": ""Adversaries may exploit software vulnerabilities in web-based applications."",
     ""Explanation"": ""This IDS rule detects SQL injection attempts targeting a web application, a common technique used to exploit vulnerabilities in public-facing applications.""
 }",['T1190'],['T1190']
13237,"[
     {
         ""Sid"": ""13237"",
         ""Technique ID"": ""T1056"",
         ""Technique Name"": ""Input Capture"",
         ""Quotes"": ""Malware and tools may have features that capture user input for the purposes of keystroke monitoring and obtaining credentials. Consistent with behaviors capturing keystrokes as outlined in T1056."",
         ""Explanation"": ""The rule detects the transmission of files possibly related to keylogger logs indicating that sensitive data capture might be occurring.""
     }
 ]",['T1056'],['T1056']
