Sid,Response,Technique_id,True_labels
50106,"[
         {
             ""sid"": ""50106"",
             ""Technique ID"": ""T1190"",
             ""Technique name"": ""Exploit Public-Facing Application"",
             ""Quotes"": """"Exploitation of Public-Facing Applications refers to attackers identifying and targeting vulnerabilities in Internet-connected applications to gain access to systems and data. The rule triggers on the presence of an attempt to poison a responder in a SMB attack, indicating exploitation attempts against vulnerable SMB applications."""",
             ""Explanation"": ""This rule is designed to identify and block malicious traffic that attempts to poison a responder in an SMB attack. SMB is a common protocol used for file and printer sharing and is vulnerable to a variety of attacks. The rule looks for packets that contain malicious patterns that are associated with SMB poisoning attacks.""
         },
         {
             ""sid"": ""50106"",
             ""Technique ID"": ""T1486"",
             ""Technique name"": ""NetBIOS Reconnaissance"",
             ""Quotes"": """"NetBIOS Reconnaissance involves discovering and gathering information about NetBIOS protocols and services on a network to identify potential targets and vulnerabilities. The rule's focus on NetBIOS traffic suggests that it may be used for reconnaissance purposes."""",
             ""Explanation"": ""This rule matches on a pattern of NetBIOS packets that may be used for reconnaissance. Reconnaissance is the act of gathering information about a network or system to identify vulnerabilities that can be exploited. NetBIOS is a network protocol that is used by Windows systems to share files and printers. By sending a series of NetBIOS packets, an attacker can gather information about the computers on a network and their operating systems.""
         }
     ]","['T1190', 'T1486']",['T1187']
1564,"[
   {
     ""sid"": ""1564"",
     ""Technique ID"": ""T1597"",
     ""Technique name"": ""Web Login Page"",
     ""Quotes"": """"Adversaries may use a malicious URL to direct a user to a web page under the adversary's control. Such pages may be designed to exploit vulnerabilities in the web browser, compromise user credentials, or distribute malware. The rule indicates access to a login page, which is a common target for web application attacks."""",
     ""Explanation"": ""This event is generated when activity relating to a web application is detected.""
   },
   {
     ""sid"": ""1564"",
     ""Technique ID"": ""T1190"",
     ""Technique name"": ""Exploit Public-Facing Application"",
     ""Quotes"": """"Exploiting public-facing applications involves identifying and exploiting vulnerabilities in web applications that are accessible from the internet. The rule indicates traffic targeting a login page, which is typically part of a web application and can be vulnerable to exploitation."""",
     ""Explanation"": ""This event is generated when activity relating to a web application is detected.""
   }
 ]","['T1597', 'T1190']",['T1190']
20158,"[
     {
         ""sid"": ""20158"",
         ""Technique ID"": ""T1586.003"",
         ""Technique name"": ""Default Credentials"",
         ""Quotes"": ""\""Default credentials are predefined, easily discoverable, or hardcoded credentials that are used to access a system or an account. Threat actors may use default credentials to gain unauthorized access to a system or an account."""",
         ""Explanation"": ""The event is generated when an Oracle GlassFish Server default credential login attempt is detected.""
     },
     {
         ""sid"": ""20158"",
         ""Technique ID"": ""T1190"",
         ""Technique name"": ""Exploit Public-Facing Application"",
         ""Quotes"": ""\""Threat actors may exploit publicly accessible web applications by sending specially crafted requests or leveraging vulnerabilities to access unauthorized data and functionality. Web applications that are exposed to the internet are more likely to be targeted by threat actors."""",
         ""Explanation"": ""The event could also indicate an attempt to exploit a vulnerability in the Oracle GlassFish Server web application.""
     }
 ]","['T1586', 'T1190']",['T1078']
10088,"[
     {
         ""sid"": ""10088"",
         ""Technique ID"": ""T1056"",
         ""Technique name"": ""Input Capture"",
         ""Quotes"": """"Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information. Keyloggers are a type of malware that record and capture keystrokes on a user's computer, which is a common method used by attackers to obtain sensitive information such as passwords and financial data."""",
         ""Explanation"": ""This event is an alert from a keylogger runtime detection indicating the presence of the malware. The rule detects the payload of smtp emails and looks for messages with the subject line \""Subject|3A|Beyond Keylogger Report\"".""
     },
     {
         ""sid"": ""10088"",
         ""Technique ID"": ""T1105"",
         ""Technique name"": ""Command and Control"",
         ""Quotes"": """"Command and control (C2) channels allow an attacker to maintain persistence on a victim machine, execute additional payloads, or exfiltrate sensitive data. The rule detects the payload of smtp emails and looks for messages with the subject line \""Subject|3A|Beyond Keylogger Report\"". The attacker is using an email-based C2 channel to communicate with the compromised machine and send captured keystrokes to a remote server."""",
         ""Explanation"": ""This event is an alert from a keylogger runtime detection indicating the presence of the malware. The rule detects the payload of smtp emails and looks for messages with the subject line \""Subject|3A|Beyond Keylogger Report\"". The attacker is using an email-based C2 channel to communicate with the compromised machine and send captured keystrokes to a remote server.""
     }
 ]","['T1056', 'T1105']",['T1056']
5783,"[
         ""sid"": ""5783"",
         ""Technique ID"": ""T1056"",
         ""Technique name"": ""Input Capture"",
         ""Quotes"": """"Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information. The rule indicates the detection of a keylogger (hwae) that logs keystrokes, which is a common method used to capture user input data."""",
         ""Explanation"": ""This event is generated when activity relating to malware is detected.""
     ]",['T1056'],['T1056']
29379,"[
         {
             ""sid"": ""29379"",
             ""Technique ID"": ""T1020"",
             ""Technique name"": ""Exfiltration Over Command and Control Channel"",
             ""Quotes"": """"Exfiltration Over Command and Control Channel techniques move data, such as sensitive information or exfiltrated data, from a victim system to an attacker-controlled system over a communication channel established using a command and control server."""",
             ""Explanation"": ""This event is generated when outbound encrypted traffic is detected, which could potentially indicate exfiltration of data from the victim system.""
         },
         {
             ""sid"": ""29379"",
             ""Technique ID"": ""T1048"",
             ""Technique name"": ""Masquerading"",
             ""Quotes"": """"Masquerading techniques involve presenting a service or process as another service or process to evade detection or trick a user into performing an undesired action."""",
             ""Explanation"": ""The use of a Trojan (Dropper), a type of malicious software, suggests that masquerading may be involved to evade detection and establish outbound communication with the attacker-controlled system.""
         }
     ]","['T1020', 'T1048']",['T1020']
7176,"[
   {
     ""sid"": ""7176"",
     ""Technique ID"": ""T1056"",
     ""Technique Name"": ""Input Capture"",
     ""Quotes"": """"Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information. The rule indicates the presence of a keylogger (ab system spy) that retrieves logs, which aligns with the objective of input capture techniques."""",
     ""Explanation"": ""This rule is triggered when the system detects the presence of a keylogger (ab system spy) attempting to retrieve logs, which is a common tactic used by attackers to capture user input data.""
   },
   {
     ""sid"": ""7176"",
     ""Technique ID"": ""T1118"",
     ""Technique Name"": ""System Information Discovery"",
     ""Quotes"": """"System Information Discovery techniques involve gathering information about the system, such as software versions, patches, and configurations, to identify potential vulnerabilities. The rule indicates the presence of a keylogger (ab system spy) that retrieves logs, which may contain system information that can be leveraged by attackers."""",
     ""Explanation"": ""The rule triggers when a keylogger (ab system spy) attempts to retrieve logs, which may contain valuable system information that attackers can exploit to identify vulnerabilities and gain unauthorized access.""
   }
 ]","['T1056', 'T1118']",['T1056']
58733,"[
     ""sid"": ""58733"",
     ""Technique ID"": ""T1190"",
     ""Technique name"": ""Exploit Public-Facing Application"",
     ""Quotes"": """"Exploit Public-Facing Application techniques involve exploiting a vulnerability in a publicly accessible application to execute malicious code. The rule detects an attempt to exploit a vulnerability in Apache Log4j, which can lead to remote code execution and compromise of the affected system."""",
     ""Explanation"": ""This event is generated when activity relating to exploit public-facing application is detected.""
 ]",['T1190'],['T1190']
24087,"[
         {
             ""sid"": ""24087"",
             ""Technique ID"": ""T1572"",
             ""Technique Name"": ""Obfuscated Files or Information"",
             ""Quotes"": """"Obfuscated Files or Information techniques involve hiding malicious content, such as code or data, within seemingly innocuous files or information to avoid detection. In this case, the Trojan (Bledoor) is using a TCP tunnel encapsulated within UDP traffic to evade detection by traditional network security controls."""",
             ""Explanation"": ""This event is generated when activity relating to malware is detected.""
         }
     ]",['T1572'],['T1048']
7551,"[
     {
         ""sid"": ""7551"",
         ""Technique ID"": ""T1056"",
         ""Technique name"": ""Input Capture"",
         ""Quotes"": """"Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information. The rule is designed to detect the presence of a keylogger, which is a type of malware that can capture and record user input data."""",
         ""Explanation"": ""This event is generated when activity relating to a keylogger is detected.""
     },
     {
         ""sid"": ""7551"",
         ""Technique ID"": ""T1119"",
         ""Technique name"": ""Process Injection"",
         ""Quotes"": """"Process Injection is the act of executing code within the address space of another process. The rule is designed to detect the presence of a keylogger, which can be injected into other processes to gain access to their memory and capture user input data."""",
         ""Explanation"": ""This event is generated when activity relating to process injection is detected.""
     }
 ]","['T1056', 'T1119']",['T1056']
