Sid,Response,Technique_id,True_labels,Predicted_labels
50106,"[
   {
     ""sid"": ""50106"",
     ""Technique ID"": ""T1559"",
     ""Technique Name"": ""Modify Registry"",
     ""Quotes"": ""Adversaries may modify the Windows registry to make changes to system settings, disable security controls, or change execution behavior."",
     ""Explanation"": ""This rule detects an attempt to modify the registry using the NetBIOS Session Service (SMB).""
   }
 ]",['T1559'],['TA0006'],['TA0002']
23934,"[
         ""sid"": ""23934"",
         ""Technique ID"": ""T1190"",
         ""Technique name"": ""Exploit Public-Facing Application"",
         ""Quotes"": ""Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network."",
         ""Explanation"": ""This rule identifies attempts to access the 'login.htm' page, which is commonly used for authentication purposes in web applications.""
     ],
     [
         ""sid"": ""23934"",
         ""Technique ID"": ""T1582"",
         ""Technique name"": ""Phishing"",
         ""Quotes"": ""Phishing is a technique that attempts to trick a user into giving up sensitive information or clicking on a link that will install malware."",
         ""Explanation"": ""This rule looks for accesses the login page of a web application, which is often a target for phishing attacks.""
     ]
 ]","['T1190', 'T1582']",['TA0001'],['TA0001']
20158,"[
         ""sid"": ""20158"",
         ""Technique ID"": ""T1110"",
         ""Technique name"": ""Credential Access"",
         ""Quotes"": """"Credential Access involves obtaining credentials or authentication data associated with target systems or users. This rule specifically detects login attempts using default or weak credentials against Oracle GlassFish Server's administrative interface, indicating credential access attempts."""",
         ""Explanation"": ""The rule indicates an attempted login to Oracle GlassFish Server using default credentials, which could be a sign of unauthorized access (credential access).""
     ],
     [
         ""sid"": ""20158"",
         ""Technique ID"": ""T1583.003"",
         ""Technique name"": ""Default Account"",
         ""Quotes"": """"Default Account techniques involve exploitation of an account that has default, factory, or otherwise predictable credentials. This rule looks for attempts to log in to the Oracle GlassFish Server's web administration panel using the default 'admin' username and password, which is a type of default account."""",
         ""Explanation"": ""The rule explicitly checks for login attempts using the default 'admin' username and password, suggesting the potential exploitation of default credentials.""
     ]
 ]","['T1110', 'T1583']","['TA0005', 'TA0001', 'TA0004', 'TA0003']","['TA0006', 'TA0042']"
10088,"[
     ""sid"": ""10088"",
     ""Technique ID"": ""T1531"",
     ""Technique name"": ""Remote System Discovery"",
     ""Quotes"": ""Adversaries may attempt to determine the topology, layout, or assets of a system or network prior to launching an attack; this knowledge may be used to plan and calibrate the attack through the attack lifecycle."",
     ""Explanation"": ""This rule looks for SMTP traffic that includes the string ""Beyond Keylogger Report"", which may indicate that a keylogger is sending collected data to an external host.""
 ]",['T1531'],"['TA0006', 'TA0009']",['TA0040']
5783,"[
         ""sid"": ""5783"",
         ""Technique ID"": ""T1056"",
         ""Technique name"": ""Input Capture"",
         ""Quotes"": ""Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information."",
         ""Explanation"": ""This rule detects keystrokes being logged by the HWAE keylogger, indicating that the adversary is attempting to capture user input data.""
     }
 ]",['T1056'],"['TA0006', 'TA0009']","['TA0006', 'TA0009']"
29379,"[
         ""sid"": ""29379"",
         ""Technique ID"": ""T1005"",
         ""Technique name"": ""Data Exfiltration"",
         ""Quotes"": ""Adversaries may attempt to exfiltrate data (e.g., using FTP, Exfiltration Over Command and Control, or Other Exfiltration Protocols) from the network."",
         ""Explanation"": ""This rule looks for outbound traffic on ports 777 and 778 that is encrypted, which is a common indicator of data exfiltration.""
     ]",['T1005'],['TA0010'],['TA0009']
7176,"[
   {
     ""sid"": ""7176"",
     ""Technique ID"": ""T1056"",
     ""Technique name"": ""Input Capture"",
     ""Quotes"": ""Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information."",
     ""Explanation"": ""This rule triggers when the malware Keylogger is attempting to retrieve its logs. This means that the keylogger has successfully captured input data and is now trying to send it to a remote server, potentially including sensitive information such as passwords or credit card details.""
   }
 ]",['T1056'],"['TA0006', 'TA0009']","['TA0006', 'TA0009']"
58733,"[
         ""sid"": ""58733"",
         ""Technique ID"": ""T1505"",
         ""Technique name"": ""Exploit Public Facing Application"",
         ""Quotes"": ""Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network."",
         ""Explanation"": ""This rule looks for attempts to exploit a remote code execution vulnerability in Log4j's \""Lookup\"" functionality.""
     ]",['T1505'],['TA0001'],['TA0003']
38563,"[
   {
     ""sid"": ""38563"",
     ""Technique ID"": ""T1056"",
     ""Technique name"": ""Input Capture"",
     ""Quotes"": ""\""Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information. The rule indicates the presence of a Trojan (GateKeylogger) that mimics a '404 Not Found' error to disguise its communication with a command and control server, which is a common method used by keyloggers to stealthily capture input data.\"""",
     ""Explanation"": ""This event is generated when activity relating to malware is detected.""
   },
   {
     ""sid"": ""24087"",
     ""Technique ID"": ""T1112"",
     ""Technique name"": ""Masquerading"",
     ""Quotes"": ""\""Masquerading involves disguising data within a network to appear as legitimate network traffic\"""",
     ""Explanation"": ""This rule looks for a specific pattern of data in UDP traffic that is associated with the Win.Trojan.Bledoor Trojan, which uses TCP tunneling over UDP to communicate with its command and control server.""
   }
 ]","['T1056', 'T1112']",['TA0010'],"['TA0005', 'TA0006', 'TA0009']"
1131,"[
         ""sid"": ""1131"",
         ""Technique ID"": ""T1056"",
         ""Technique name"": ""Input Capture"",
         ""Quotes"": ""Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information. The rule indicates the presence of a keylogger (ardamax keylogger) that attempts to send captured keystrokes via SMTP, which is a common method used by keyloggers to exfiltrate captured data."",
         ""Explanation"": ""This rule is designed to detect attempts to exfiltrate sensitive data from a compromised system using a keylogger.""
     ]",['T1056'],"['TA0006', 'TA0009']","['TA0006', 'TA0009']"
30516,"[
         ""sid"": ""30516"",
         ""Technique ID"": ""T1046"",
         ""Technique name"": ""Exfiltration Over Alternative Protocol"",
         ""Quotes"": """"adversaries may exfiltrate data over protocols other than HTTP or HTTPS, such as SMB, DNS, ICMP, or SSL."""",
         ""Explanation"": ""This rule is for an attempted SSL Heartbleed exploit, which can be used to exfiltrate data.""
     ]",['T1046'],['TA0009'],['TA0007']
26803,"[
         ""sid"": ""26803"",
         ""Technique ID"": ""T1071"",
         ""Technique name"": ""Data Exfiltration"",
         ""Quotes"": ""Various techniques can be used to exfiltrate data from a compromised system, including exfiltrating data over insecure or covert channels such as DNS, ICMP, or SSL."",
         ""Explanation"": ""This rule is triggered when a DNS query is made to exfiltrate data over DNS. It is an exfiltration attempt because it is sending data from the internal network to an external destination over an unusual channel (DNS).""
     ]",['T1071'],['TA0010'],['TA0011']
33566,"[
     ""sid"": ""33566"",
     ""Technique ID"": ""T1190"",
     ""Technique Name"": ""Exploit Public-Facing Application"",
     ""Quotes"": ""Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network."",
     ""Explanation"": ""This rule looks for attempts to exploit a heap overflow vulnerability in Mozilla Firefox 3.""
 ]",['T1190'],['TA0005'],['TA0001']
25579,"[
     {
         ""sid"": ""25579"",
         ""Technique ID"": ""T1192"",
         ""Technique name"": ""Phishing"",
         ""Quotes"": ""Phishing is a form of social engineering that uses communication techniques to deceive users into taking an action that compromises their credentials or information, such as clicking a malicious link or opening an email attachment"",
         ""Explanation"": ""This rule looks for phishing emails that contain a malicious attachment with the""BookingInfo.exe"" filename.""
     }
 ]",['T1192'],['TA0001'],['TA0001']
24705,"[
   {
     ""sid"": ""24705"",
     ""Technique ID"": ""T1190"",
     ""Technique Name"": ""Exploit Public-Facing Application"",
     ""Quotes"": ""Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network."",
     ""Explanation"": ""This rule looks for attempts to exploit a SQL injection vulnerability in the CA Total Defense management.asmx web application.""
   },
   {
     ""sid"": ""24705"",
     ""Technique ID"": ""T1598.002"",
     ""Technique Name"": ""SQL Injection, Web Form"",
     ""Quotes"": ""SQL injection is an injection technique that attackers use to exploit security vulnerabilities in an application's database."",
     ""Explanation"": ""The pattern in the rule matches attempts to inject SQL queries into the web form.""
   }
 ]","['T1190', 'T1598']",['TA0001'],"['TA0001', 'TA0043']"
13237,"[
     ""sid"": ""13237"",
     ""Technique ID"": ""T1553"",
     ""Technique name"": ""Harvest Creden",['T1553'],"['TA0006', 'TA0009']",['TA0005']
32104,"[
         ""sid"": ""32104"",
         ""Technique ID"": ""T1204"",
         ""Technique name"": ""User Execution"",
         ""Quotes"": """"User Execution involves actively tricking a user to execute a malicious file or command on a victim system, most frequently via social engineering rather than exploiting a vulnerability to do so."",
         ""Explanation"": ""This rule triggers when an ActiveX control (CheckOutAndOpen.Control) attempts to execute a function that involves accessing .hta files. This is a technique commonly used to trick users into executing malicious code.""
     ]",['T1204'],['TA0005'],['TA0002']
17386,"[
         ""sid"": ""17386"",
         ""Technique ID"": ""T1190"",
         ""Technique name"": ""Exploit Public-Facing Application"",
         ""Quotes"": ""Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network."",
         ""Explanation"": ""This rule looks for attempts to exploit a vulnerability in Lighttpd's mod_fastcgi module that allows attackers to overwrite CGI variables and execute arbitrary code.""
     ]",['T1190'],['TA0007'],['TA0001']
21318,"[
         ""sid"": ""21318"",
         ""Technique ID"": ""T1110"",
         ""Technique name"": ""Network Sniffing"",
         ""Quotes"": """"Network sniffing involves intercepting and examining network traffic to gain information about systems, users, and network activity. The rule detects outbound connections from a compromised host to a known malware command and control server. This type of communication is commonly used by malware to exfiltrate stolen data or receive instructions from the attacker."""",
         ""Explanation"": ""This event is generated when activity relating to malware is detected.""
     },
     {
         ""sid"": ""21318"",
         ""Technique ID"": ""T1029"",
         ""Technique name"": ""Command and Control"",
         ""Quotes"": """"Command and control (C2) channels allow adversaries to communicate with compromised systems, issue commands, and retrieve data. The rule detects an outbound connection to a known malware command and control server. This type of communication is commonly used by malware to receive instructions from the attacker or to exfiltrate stolen data."""",
         ""Explanation"": ""This event is generated when activity relating to malware is detected.""
     }
 ]","['T1110', 'T1029']",['TA0011'],"['TA0006', 'TA0010']"
60338,"[
   {
     ""sid"": ""60338"",
     ""Technique ID"": ""T1102"",
     ""Technique Name"": ""Data from Local System"",
     ""Quotes"": ""Adversaries may obtain information about a local host or system, such as files and system configuration, to aid in lateral movement, privilege escalation, or data exfiltration."",
     ""Explanation"": ""This rule detects when a webshell attempts to send command history data back to a remote server, which is a common technique for exfiltrating information from a compromised system.""
   },
   {
     ""sid"": ""60338"",
     ""Technique ID"": ""T1048"",
     ""Technique Name"": ""System Information Discovery"",
     ""Quotes"": ""Adversaries may enumerate system information to aid in lateral movement or privilege escalation."",
     ""Explanation"": ""This rule detects when a webshell attempts to gather system information, such as command history, which can be used for lateral movement or privilege escalation.""
   }
 ]","['T1102', 'T1048']",['TA0003'],"['TA0011', 'TA0010']"
49540,"[
     ""sid"": ""49540"",
     ""Technique ID"": ""T1112"",
     ""Technique name"": ""Modify Registry"",
     ""Quotes"": """"Modify Registry techniques involve modifying registry keys or values to change settings, alter system behavior, or establish persistence."""",
     ""Explanation"": ""This Snort rule alerts on attempts to modify the WordPress wp_user_roles configuration, which could allow an attacker to elevate privileges or gain unauthorized access to the system.""
 ]",['T1112'],['TA0001'],['TA0005']
58912,"[
   {
     ""sid"": ""58912"",
     ""Technique ID"": ""T1105"",
     ""Technique name"": ""Upload File"",
     ""Quotes"": """"Adversaries may upload files to the file system to establish persistence or execute code."""",
     ""Explanation"": ""This rule refers to an attempt to upload a malicious PHP web shell. Web shells are often used to provide remote access and control of a compromised system.""
   },
   {
     ""sid"": ""58912"",
     ""Technique ID"": ""T1495"",
     ""Technique name"": ""Web Shell"",
     ""Quotes"": """"Adversaries may use web shells to remotely access and control a compromised system."""",
     ""Explanation"": ""This rule looks for PHP web shells, which are malicious scripts that allow an attacker to execute commands on a compromised web server.""
   }
 ]","['T1105', 'T1495']",['TA0003'],"['TA0011', 'TA0040']"
31978,"[
         {
             ""sid"": ""31978"",
             ""Technique ID"": ""T1110"",
             ""Technique name"": ""OS Command Injection"",
             ""Quotes"": """"Adversaries may inject operating system commands into otherwise legitimate processes to gain control of a system."""",
             ""Explanation"": ""This rule helps detect attempts to inject commands into a Bash CGI environment.""
         },
         {
             ""sid"": ""31978"",
             ""Technique ID"": ""T1059"",
             ""Technique name"": ""Command-Line Interface"",
             ""Quotes"": """"Adversaries may interact with a system's command-line interface to execute commands, navigate the file system, and otherwise interact with the system."""",
             ""Explanation"": ""This rule helps detect attempts to execute commands through the Bash CGI environment.""
         }
     ]","['T1110', 'T1059']",['TA0001'],"['TA0002', 'TA0006']"
37313,"[
     ""sid"": ""37313"",
     ""Technique ID"": ""T1209"",
     ""Technique name"": ""Phishing"",
     ""Quotes"": ""\""Phishing techniques involve sending malicious communications that attempt to trick a user into disclosing information by using a variety of techniques, such as spoofing communications from well-known sources, attempting to induce panic or emotion, or embedding links that lead to attacker-controlled websites\"""",
     ""Explanation"": ""\""The rule looks for attempts to establish an SMTP connection with a known phishing domain. This traffic can contain phishing emails which can lead to information leakage when the user clicks on links or opens attachments.\""
 ]",['T1209'],['TA0010'],[]
61160,"[
         ""sid"": ""61160"",
         ""Technique ID"": ""T1059"",
         ""Technique name"": ""Command and Control"",
         ""Quotes"": ""Techniques involving the maintenance of remote access or control over systems or networks."",
         ""Explanation"": ""This rule detects suspicious outbound communication patterns associated with a JSP web shell, which allows attackers to establish command and control channels with compromised systems.""
     },
     {
         ""sid"": ""61160"",
         ""Technique ID"": ""T1105"",
         ""Technique name"": ""Ingress Tool Transfer"",
         ""Quotes"": ""Techniques involving transferring tools or scripts into a system for malicious purposes."",
         ""Explanation"": ""The use of a web shell can involve transferring malicious tools or scripts into a compromised system for further exploitation.""
     }
 ]","['T1059', 'T1105']",['TA0003'],"['TA0002', 'TA0011']"
14075,"[
     ""sid"": ""14075"",
     ""Technique ID"": ""T1057"",
     ""Technique name"": ""Process Discovery"",
     ""Quotes"": ""Detect processes or services that may indicate an attack."",
     ""Explanation"": ""This rule is related to detecting Keylogger ultimate Keylogger pro runtime.""
 ]",['T1057'],"['TA0006', 'TA0009']",['TA0007']
39930,"[
         ""sid"": ""39930"",
         ""Technique ID"": ""T1110"",
         ""Technique name"": ""Credential Access"",
         ""Quotes"": ""In this context, credentials refer to any reusable secrets that provide authentication or authorization."",
         ""Explanation"": ""The rule description mentions that the event is ""credential disclosure attempt,"" which is a type of credential access where the adversary aims to obtain credentials from a system or service.""
     ]",['T1110'],['TA0006'],['TA0006']
29918,"[
         ""sid"": ""29918"",
         ""Technique ID"": ""T1056"",
         ""Technique name"": ""Input Capture"",
         ""Quotes"": """"Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information.  The rule indicates the presence of a keylogger (Vacky) that sends out information by TCP packets, which can include sensitive information like keystrokes."""",
         ""Explanation"": ""This event is generated when activity relating to malware is detected.""
     ]",['T1056'],"['TA0006', 'TA0009']","['TA0006', 'TA0009']"
37379,"[
         ""sid"": ""37379"",
         ""Technique ID"": ""T1110"",
         ""Technique name"": ""Brute force"",
         ""Quotes"": ""Adversaries may use brute-force techniques, such as repeatedly submitting credentials, to guess or crack valid credentials."",
         ""Explanation"": ""This rule triggers an alert when an attacker attempts to brute force login credentials on a web application.""
     ]",['T1110'],"['TA0005', 'TA0001', 'TA0004', 'TA0003']",['TA0006']
23612,"[
   {
     ""sid"": ""23612"",
     ""Technique ID"": ""T1190"",
     ""Technique Name"": ""Exploit Public-Facing Application"",
     ""Quotes"": ""Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network."",
     ""Explanation"": ""This rule looks for embedded JavaScript in XML embedded in a PDF, which could be used to exploit a vulnerability in a PDF reader such as Adobe Acrobat.""
   }
 ]",['T1190'],['TA0005'],['TA0001']
57462,"[
         ""sid"": ""57462"",
         ""Technique ID"": ""T1105"",
         ""Technique name"": ""Upload Executable File"",
         ""Quotes"": """"In this specific case, the rule detects the upload of a webshell variant of Perl.Backdoor.STEADYPULSE."",
         ""Explanation"": ""This rule detects connections from internal hosts to external hosts on HTTP ports with specific patterns in the file data that indicate the presence of malware and attempts to upload an executable file to the remote system.""
     ]",['T1105'],['TA0011'],['TA0011']
59259,"[
     {
         ""sid"": ""59259"",
         ""Technique ID"": ""T1203"",
         ""Technique name"": ""Exploit Public-Facing Application"",
         ""Quotes"": ""Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network."",
         ""Explanation"": ""This rule detects inbound connection attempts from remote hosts to a web application, specifically looking for parameters that are commonly associated with PHP webshell activity.""
     },
     {
         ""sid"": ""59259"",
         ""Technique ID"": ""T1189"",
         ""Technique name"": ""Web Shell"",
         ""Quotes"": ""A web shell is a type of malicious script or code that is uploaded to a remote server and provides an attacker with a way to control the server."",
         ""Explanation"": ""This rule looks for specific patterns within the HTTP request that are commonly used in PHP webshell attacks, such as the "".php?path=|2F|"" and ""&x="" parameters.""
     }
 ]","['T1203', 'T1189']",['TA0003'],"['TA0002', 'TA0001']"
18067,"""sid"": ""18067"",
 ""Technique ID"": ""T1056"",
 ""Technique name"": ""Input Capture"",
 ""Quotes"": ""Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information."",
 ""Explanation"": ""This rule looks for potential exfiltration of screenshots, which could be used to capture sensitive information.""",['T1056'],"['TA0006', 'TA0009']","['TA0006', 'TA0009']"
38249,"[
         ""sid"": ""38249"",
         ""Technique ID"": ""T1110"",
         ""Technique name"": ""Brute Force"",
         ""Quotes"": ""Adversaries may attempt to obtain valid credentials by repeatedly submitting combinations of usernames and passwords against an authentication mechanism."",
         ""Explanation"": ""This rule will attempt to detect brute-force attacks against a web application by checking for a specific pattern of HTTP requests containing the default password for the Samsung Data Manager application.""
     ]",['T1110'],"['TA0005', 'TA0001', 'TA0004', 'TA0003']",['TA0006']
38890,"[
     ""sid"": ""38890"",
     ""Technique ID"": ""T1020"",
     ""Technique name"": ""Data Exfiltration"",
     ""Quotes"": """"T1020: Data Exfiltration describes techniques that move data from a network, system, or organization to an external location. This IDS rule specifically detects exfiltration attempts from a compromised host using the Hawkeye Keylogger trojan, which is known for its data-stealing capabilities."""",
     ""Explanation"": ""This rule looks for exfiltration attempts from a host that is infected with the Hawkeye Keylogger trojan.""
 ],
     ""sid"": ""38890"",
     ""Technique ID"": ""T1056"",
     ""Technique name"": ""Input Capture"",
     ""Quotes"": """"T1056: Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information. The detection of Hawkeye Keylogger suggests that attempts are being made to capture sensitive input, such as passwords or financial data."""",
     ""Explanation"": ""This rule looks for traffic from a host that is infected with the Hawkeye Keylogger trojan, which is known for its ability to capture user input.""
 ]","['T1020', 'T1056']",['TA0010'],"['TA0006', 'TA0009', 'TA0010']"
35317,"[
   {
     ""sid"": ""35317"",
     ""Technique ID"": ""T1105"",
     ""Technique name"": ""Establish Command and Control"",
     ""Quotes"": ""\""Establish Command and Control (C2) techniques involve establishing bi-directional communications between an attacker and a victim system. C2 is used to provide the attacker with the ability to control a compromised system remotely, maintain persistence, collect information, or exfiltrate data from the system."",
     ""Explanation"": ""This rule detects outbound communication to a remote IP address by a Trojan, known as Win.Trojan.Directate, which is used to establish a Command and Control (C2) connection with the attacker.""
   }
 ]",['T1105'],['TA0003'],['TA0011']
26639,"[
         {
             ""sid"": ""26639"",
             ""Technique ID"": ""T1566"",
             ""Technique name"": ""Signature Spoofing"",
             ""Quotes"": """"Signature Spoofing involves forging the digital signature of a software update or other file to make it appear authentic."",
             ""Explanation"": ""This rule detects an attempt to spoof a digital signature by transforming the digest value of an XML file.""
         }
     ]",['T1566'],['TA0005'],['TA0001']
2230,"[
     ""sid"": ""2230"",
     ""Technique ID"": ""T1078"",
     ""Technique name"": ""Valid Accounts"",
     ""Quotes"": """"Adversaries may use default or built-in accounts to access systems as part of an attack."""",
     ""Explanation"": ""This event is generated when a NetGear router's default login credentials are used to attempt authentication.""
 ]",['T1078'],"['TA0005', 'TA0001', 'TA0004', 'TA0003']","['TA0005', 'TA0001', 'TA0004', 'TA0003']"
12134,"[
     ""sid"": ""12134"",
     ""Technique ID"": ""T1056"",
     ""Technique name"": ""Input Capture"",
     ""Quotes"": """"Intercepting and capturing user input data, such as keystrokes, to obtain sensitive information. The rule indicates the presence of a keylogger (remotekeylog.b) runtime detection that detects attempts to open a URL, which is a common method used by keyloggers to stealthily capture input data and exfiltrate it to a remote location."""",
     ""Explanation"": ""This event is generated when activity relating to malicious software is detected.""
 ],
     ""sid"": ""12134"",
     ""Technique ID"": ""T1176"",
     ""Technique name"": ""Network Sniffing"",
     ""Quotes"": """"Passively monitoring network traffic to collect sensitive information or credentials. The rule looks for network traffic that is associated with a known keylogger (remotekeylog.b) and specifically detects attempts to open a URL, which is a common method used by keyloggers to communicate with a remote server and exfiltrate captured data."""",
     ""Explanation"": ""This event is generated when activity relating to malicious software is detected.""
 ]","['T1056', 'T1176']","['TA0006', 'TA0009']","['TA0003', 'TA0006', 'TA0009']"
59051,"[
     ""sid"": ""59051"",
     ""Technique ID"": ""T1140"",
     ""Technique name"": ""Document Exploitation"",
     ""Quotes"": ""Adversaries may exploit malicious files disguised as harmless documents, such as Microsoft Office files."",
     ""Explanation"": ""This rule looks for an upload attempt to a PHP web shell named Andela, which could be used to gain remote access to the server.""
 ]",['T1140'],['TA0003'],['TA0005']
20618,"[
   {
     ""sid"": ""20618"",
     ""Technique ID"": ""T1598.003"",
     ""Technique Name"": ""Credentials from Password Stores"",
     ""Quotes"": ""Adversaries may target password stores to obtain credentials for use in lateral movement or remote access."",
     ""Explanation"": ""This rule identifies attempts to exploit a vulnerability in Sage SalesLogix to disclose database credentials.""
   },
   {
     ""sid"": ""20618"",
     ""Technique ID"": ""T1110"",
     ""Technique Name"": ""Credential Dumping"",
     ""Quotes"": ""Adversaries may attempt to dump credentials from memory, potentially including cached credentials, password hashes, or other authentication artifacts."",
     ""Explanation"": ""This rule looks for attempts to dump credentials from the memory of a compromised system.""
   }
 ]","['T1598', 'T1110']",['TA0006'],"['TA0006', 'TA0043']"
47846,"[
         ""sid"": ""47846"",
         ""Technique ID"": ""T1189"",
         ""Technique name"": ""Drive-by Compromise"",
         ""Quotes"": """"Adversaries may attempt to infect a local system by persuading a user into visiting a malicious website or clicking a malicious link in an email."""",
         ""Explanation"": """"Drive-by Compromise"""" is a technique in which a malicious script is executed on a target system when a user visits a malicious website or clicks on a malicious link.""
     ]",['T1189'],['TA0002'],['TA0001']
