Sid,Response,Technique_id,True_labels,Predicted_labels
50106,"[
   {
     ""Sid"": ""50106"",
     ""Technique ID"": ""T1130"",
     ""Technique Name"": ""Exploit Public-Facing Application"",
     ""Quotes"": [
       ""Adversaries may attempt to exploit public-facing applications to gain access to the network.""
     ],
     ""Explanation"": ""The rule triggers on SMB traffic, which is commonly used for public-facing applications. The content of the rule matches SMB packets that are malformed and could be used to exploit a vulnerability in the application.""
   },
   {
     ""Sid"": ""50106"",
     ""Technique ID"": ""T1581"",
     ""Technique Name"": ""Poisoning"",
     ""Quotes"": [
       ""Adversaries may attempt to poison the DNS cache of a target system or DNS server with malicious data to redirect traffic.""
     ],
     ""Explanation"": ""The rule triggers on SMB traffic, which is commonly used for DNS. The content of the rule matches SMB packets that are malformed and could be used to poison the DNS cache.""
   }
 ]","['T1130', 'T1581']",['TA0006'],[]
1564,"
 {
   ""Sid"": ""1564"",
   ""Technique ID"": ""T1043"",
   ""Technique Name"": ""Credential Harvesting"",
   ""Quotes"": [
     ""\""If an attacker has access to a website's login page, they can use social engineering tactics to trick users into entering their credentials.""
   ],
   ""Explanation"": ""This rule detects access to a login page, which could be used by an attacker to harvest credentials through social engineering or other means.""
 }
 {
   ""Sid"": ""1564"",
   ""Technique ID"": ""T1102"",
   ""Technique Name"": ""Web Shell"",
   ""Quotes"": [
     ""\""Web shells are often used by attackers to maintain access to a compromised system and to execute commands remotely.\""""
   ],
   ""Explanation"": ""This rule detects access to a login page, which could be used by an attacker to upload a web shell to the server.""
 }
 ","['T1043', 'T1102']",['TA0001'],['TA0011']
1564,"{
   ""Sid"": 20158,
   ""Technique ID"": ""T1190"",
   ""Technique Name"": ""Credential Stuffing"",
   ""Quotes"": [
     ""\""The attacker attempts to compromise multiple accounts utilizing known default credentials for the system/application.\""""
   ],
   ""Explanation"": ""The rule detects an attempt to log in to an Oracle GlassFish Server using default credentials, which is an example of credential stuffing.""
 },
 {
   ""Sid"": 20158,
   ""Technique ID"": ""T1567"",
   ""Technique Name"": ""Account Manipulation"",
   ""Quotes"": [
     ""\""The attacker attempts to modify/manipulate accounts in order to gain access to an application.\""""
   ],
   ""Explanation"": ""The rule detects an attempt to log in to an Oracle GlassFish Server using default credentials, which could be an attempt to compromise an account and gain unauthorized access to the server.""
 }","['T1190', 'T1567']","['TA0005', 'TA0001', 'TA0004', 'TA0003']","['TA0001', 'TA0010']"
10088,"
 {
   ""Sid"": ""10088"",
   ""Technique ID"": ""T1071"",
   ""Technique Name"": ""Data Exfiltration"",
   ""Quotes"": [
     ""^Subject\\x3a[^\r\n]*Beyond\\s+Keylogger\\s+Report\\x2E\\s+Id\\x3d\\x5b.*\\x5d/ims""
   ],
   ""Explanation"": ""The Snort rule detects exfiltration of data via SMTP, which is a common technique used by malware to send stolen data to a remote server.""
 },
 {
   ""Sid"": ""10088"",
   ""Technique ID"": ""T1566"",
   ""Technique Name"": ""Phishing"",
   ""Quotes"": [
     ""^Subject\\x3a[^\r\n]*Beyond\\s+Keylogger\\s+Report\\x2E\\s+Id\\x3d\\x5b.*\\x5d/ims""
   ],
   ""Explanation"": ""The Snort rule detects phishing emails that contain malicious attachments or links. These emails often use social engineering techniques to trick users into providing their personal information or clicking on malicious links.""
 }
 ","['T1071', 'T1566']","['TA0006', 'TA0009']","['TA0001', 'TA0011']"
5783,"{
   ""Sid"": ""5783"",
   ""Technique ID"": ""T1056"",
   ""Technique Name"": ""Input Capture"",
   ""Quotes"": [],
   ""Explanation"": ""This rule detects a hwae keystrokes log, indicating that a keylogger is running on the system and capturing keystrokes.""
 }
 {
   ""Sid"": ""5783"",
   ""Technique ID"": ""T1074"",
   ""Technique Name"": ""Data from Local System"",
   ""Quotes"": [],
   ""Explanation"": ""This rule detects data being sent from the local system to an external destination, potentially indicating exfiltration of sensitive information.""
 }","['T1056', 'T1074']","['TA0006', 'TA0009']","['TA0006', 'TA0009']"
29379,"JSON
 {
   ""Sid"": ""29379"",
   ""Technique ID"": ""T1020"",
   ""Technique Name"": ""Exfiltration Over Command and Control Channel"",
   ""Quotes"": [
     ""\""outbound encrypted traffic - potential exfiltration\""""
   ],
   ""Explanation"": ""The rule detects outbound encrypted traffic that may be used for exfiltration of sensitive data.""
 }
 {
   ""Sid"": ""29379"",
   ""Technique ID"": ""T1071.001"",
   ""Technique Name"": ""Command and Control"",
   ""Quotes"": [
     ""Win.Trojan.Dropper"",
     ""MALWARE-CNC""
   ],
   ""Explanation"": ""The rule detects traffic to known command and control servers used by malware, such as Win.Trojan.Dropper.""
 }
 ","['T1020', 'T1071']",['TA0010'],"['TA0011', 'TA0010']"
7176,"{
   ""Sid"": ""7176"",
   ""Technique ID"": ""T1053.003"",
   ""Technique Name"": ""File and Directory Discovery"",
   ""Quotes"": [],
   ""Explanation"": ""The rule detects attempts to retrieve log files, which could be used for file and directory discovery.""
 }
 {
   ""Sid"": ""7176"",
   ""Technique ID"": ""T1068"",
   ""Technique Name"": ""Remote System Discovery"",
   ""Quotes"": [],
   ""Explanation"": ""The rule detects attempts to retrieve system information, which could be used for remote system discovery.""
 }","['T1053', 'T1068']","['TA0006', 'TA0009']","['TA0002', 'TA0003', 'TA0004']"
58733,"
 {
   ""Sid"": ""58733"",
   ""Technique ID"": ""T1190"",
   ""Technique Name"": ""Exploit Public-Facing Application"",
   ""Quotes"": ""\""Apache Log4j logging remote code execution attempt\"""",
   ""Explanation"": ""The rule targets an attempt to exploit the Apache Log4j remote code execution vulnerability through HTTP. This technique involves exploiting public-facing applications to gain access to a system.""
 }
 ",['T1190'],['TA0001'],['TA0001']
24087,"
 {
   ""Sid"": ""24087"",
   ""Technique ID"": ""T1093"",
   ""Technique Name"": ""Proxy Execution"",
   ""Quotes"": [
     ""\""Uses a proxy server to send network traffic to a target host without being directly connected to it.\"""",
     ""\""Uses a proxy server to forward connections and maintain anonymity.\""""
   ],
   ""Explanation"": ""The rule detects a Win.Trojan.Bledoor TCP tunnel in UDP traffic, which is a type of proxy execution technique that allows attackers to establish a connection between two systems through an intermediate proxy server.""
 },
 {
   ""Sid"": ""24087"",
   ""Technique ID"": ""T1571"",
   ""Technique Name"": ""Data Encapsulation"",
   ""Quotes"": [
     ""\""Conceals data by packaging it within a legitimate file or protocol.\"""",
     ""\""Conceals malicious data within legitimate network traffic.\""""
   ],
   ""Explanation"": ""The rule detects traffic that contains a specific byte sequence within the UDP data payload, which is a common technique used to encapsulate malicious data within legitimate network traffic.""
 }
 ","['T1093', 'T1571']",['TA0010'],['TA0011']
7551,"
 [
   {
     ""Sid"": ""7551"",
     ""Technique ID"": ""T1048"",
     ""Technique Name"": ""Exfiltration over Command and Control Channel"",
     ""Quotes"": [
       ""Exfiltration over C2 channels commonly occurs when the adversary uses the same C2 channel for command and control as well as exfiltration.""
     ],
     ""Explanation"": ""This rule triggers on the detection of the ardamax keylogger, which is known to exfiltrate data over a command and control (C2) channel.""
   },
   {
     ""Sid"": ""7551"",
     ""Technique ID"": ""T1064"",
     ""Technique Name"": ""Exfiltration Over Alternative Protocol"",
     ""Quotes"": [
       ""Exfiltration over Alternate Protocol (T1064) involves the adversary exfiltrating data over a non-standard protocol.""
     ],
     ""Explanation"": ""SMTP is a non-standard protocol that can be used for exfiltration. The rule is triggered on the detection of the ardamax keylogger, which is known to exfiltrate data over SMTP.""
   }
 ]
 ","['T1048', 'T1064']","['TA0006', 'TA0009']",['TA0010']
